"","D1a","D1b","D2a","D2b","D4a","D4b","D7a","D7b"
"OTU1",0.000518443632216087,0.000785340314136126,9.24983812783276e-05,8.18844337691405e-05,0.000120040813876718,6.99986000279994e-05,0.000146070698217937,7.28862973760933e-05
"OTU2",0.000466599268994479,0.000610820244328098,0.000554990287669966,0.00117367688402435,3.00102034691795e-05,0.000174996500069999,0,0.000182215743440233
"OTU3",0,0,0.000138747571917491,0,0,0,0,0
"OTU4",0.002384840708194,0.00247236765561373,0.0111460549440385,0.00614133253268554,0.00846287737830862,0.0359792804143917,0.0028045574057844,0.028097667638484
"OTU5",0.00207377452886435,0.00119255381035486,0.0107760614189252,0.0142751862870868,0.000360122441630154,0.000384992300153997,0.000438212094653812,0.000182215743440233
"OTU6",2.59221816108044e-05,0,0,0,0,0,0.00035056967572305,3.64431486880466e-05
"OTU7",7.77665448324131e-05,2.9086678301338e-05,0.000508741097030802,2.72948112563802e-05,0.000360122441630154,0.000139997200055999,0.00204498977505112,0.000619533527696793
"OTU8",0.00139979780698344,0.000814426992437464,0,0.000218358490051041,3.00102034691795e-05,0,2.92141396435875e-05,0.00065597667638484
"OTU9",0.00845063120512222,0.00945317044793485,0,8.18844337691405e-05,0.00150051017345898,0.00202995940081198,0.00213263219398189,0.00171282798833819
"OTU10",0,0,0,0,3.00102034691795e-05,0,0,0.00043731778425656
"OTU11",0,0,0,0.000191063678794661,0,6.99986000279994e-05,0.000438212094653812,0.00010932944606414
"OTU12",0.000648054540270109,8.7260034904014e-05,0.00254370548515401,0.000600485847640364,0.00450153052037693,0.00290494190116198,0.00102249488752556,0.0065597667638484
"OTU13",0.000155533089664826,0.000174520069808028,0.00198871519748404,0.000136474056281901,0.00177060200468159,0.000524989500209996,0.00230791703184341,0.00153061224489796
"OTU14",0,0,0,5.45896225127603e-05,0,0,0,0
"OTU15",0,0.000203606748109366,0,0.000327537735076562,0.000180061220815077,0.000279994400111998,0.00260005842827929,0.00120262390670554
"OTU16",0,0,9.24983812783276e-05,0,0,0,0,0
"OTU17",2.59221816108044e-05,0,0.000323744334474147,0,0.000210071424284257,0.000174996500069999,0.0011685655857435,0.000145772594752187
"OTU18",0.00279959561396687,0.000756253635834788,0.00610489316436962,0.00578649998635259,0.00390132645099334,0.00157496850062999,0.00896874087058136,0.0021865889212828
"OTU19",0.000544365813826892,0.000668993600930774,0.0130885209508834,0.0466741272484101,0.000420142848568513,0.00629987400251995,0.00035056967572305,0.0167638483965015
"OTU20",0.00173678616792389,0.00148342059336824,0.000878734622144112,0.00199252122171575,0.000480163255506872,0.00342993140137197,0.00321355536079462,0.00568513119533528
"OTU21",0.000699898903491718,0.00072716695753345,0.00596614559245213,0.00196522641045937,0.00426144889262349,0.0202995940081198,0.0035056967572305,0.0137390670553936
"OTU22",0.000362910542551261,0.000407213496218732,0.00157247248173157,0.00406692687720064,6.0020406938359e-05,0.000419991600167997,5.8428279287175e-05,0.000291545189504373
"OTU23",0,0,0.0011562297659791,0.00103720282774245,0.00063021427285277,0.00265994680106398,0,0.00266034985422741
"OTU24",5.18443632216087e-05,0.000465386852821408,4.62491906391638e-05,0.00100990801648607,0.000120040813876718,0.00174996500069999,8.76424189307625e-05,0.00102040816326531
"OTU25",7.77665448324131e-05,0,0.000739987050226621,5.45896225127603e-05,0.000750255086729488,3.49993000139997e-05,0.000204498977505112,0.000145772594752187
"OTU26",0,0,0.000277495143834983,0,0,0,0,0
"OTU27",0.00606579049692822,0.000843513670738802,0.00300619739154565,0.000136474056281901,0.00360122441630154,0.00937981240375193,0.00470347648261759,0.00801749271137026
"OTU28",0,0,0,0,6.0020406938359e-05,0.000244995100097998,0.000642711072158925,0.00065597667638484
