"","phylum","class","genus"
"D1","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Chromobacteriaceae;Pseudogulbenkiania"
"D4","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Chromobacteriaceae;Vogesella"
"D7","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Chromobacteriaceae;Vogesella"
"D9","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Chromobacteriaceae;NA"
"D10","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Delftia"
"D11","Bacteria;Bacteroidetes","Bacteria;Bacteroidetes;Bacteroidia","Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Spirosomaceae;Pseudarcicella"
"D12","Bacteria;Actinobacteria","Bacteria;Actinobacteria;Actinobacteria","Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Microbacterium"
"D13","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Alphaproteobacteria","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"D15","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Curvibacter"
"D16","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;NA"
"G1","Bacteria;Bacteroidetes","Bacteria;Bacteroidetes;Bacteroidia","Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Spirosomaceae;Flectobacillus"
"G2","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Chromobacteriaceae;Aquitalea"
"G4","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter"
"G5","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Alphaproteobacteria","Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium"
"G6","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Chromobacteriaceae;Aquitalea"
"G7","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas"
"G8","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas"
"G9","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Chromobacteriaceae;NA"
"G12","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Massilia"
"G18","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter"
"G16","Bacteria;Bacteroidetes","Bacteria;Bacteroidetes;Bacteroidia","Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium"
"G21","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;NA"
"G22","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Massilia"
"G23","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;NA"
"OTU1","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Rhodocyclaceae;Methyloversatilis"
"OTU2","Bacteria;Firmicutes","Bacteria;Firmicutes;Bacilli","Bacteria;Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae;Leuconostoc"
"OTU3","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Rhodanobacteraceae;uncultured"
"OTU4","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Chromobacteriaceae;Vogesella"
"OTU5","Bacteria;Firmicutes","Bacteria;Firmicutes;Bacilli","Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Geobacillus"
"OTU6","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Alphaproteobacteria","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Mesorhizobium"
"OTU7","Bacteria;Acidobacteria","Bacteria;Acidobacteria;Holophagae","Bacteria;Acidobacteria;Holophagae;Holophagales;Holophagaceae;NA"
"OTU8","Bacteria;Actinobacteria","Bacteria;Actinobacteria;Actinobacteria","Bacteria;Actinobacteria;Actinobacteria;Streptomycetales;Streptomycetaceae;Kitasatospora"
"OTU9","Bacteria;Firmicutes","Bacteria;Firmicutes;Bacilli","Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus"
"OTU10","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Deltaproteobacteria","Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Archangiaceae;Anaeromyxobacter"
"OTU11","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Alphaproteobacteria","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Roseiarcus"
"OTU12","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Roseateles"
"OTU13","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;NA"
"OTU14","Bacteria;Chloroflexi","Bacteria;Chloroflexi;Ktedonobacteria","Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;1921-2"
"OTU15","Bacteria;Bacteroidetes","Bacteria;Bacteroidetes;Bacteroidia","Bacteria;Bacteroidetes;Bacteroidia;Chitinophagales;Chitinophagaceae;Flavihumibacter"
"OTU16","Bacteria;Patescibacteria","Bacteria;Patescibacteria;Saccharimonadia","Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales;NA;NA"
"OTU17","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Chitinimonadaceae;Chitinimonas"
"OTU18","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas"
"OTU19","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter"
"OTU20","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Chromobacteriaceae;Aquitalea"
"OTU21","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;NA;NA"
"OTU22","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter"
"OTU23","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Deltaproteobacteria","Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bdellovibrionaceae;Bdellovibrio"
"OTU24","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;NA;NA"
"OTU25","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Alphaproteobacteria","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"OTU26","Bacteria;Patescibacteria","Bacteria;Patescibacteria;Saccharimonadia","Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales;NA;NA"
"OTU27","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Rhodocyclaceae;Zoogloea"
"OTU28","Bacteria;Bacteroidetes","Bacteria;Bacteroidetes;Bacteroidia","Bacteria;Bacteroidetes;Bacteroidia;Sphingobacteriales;NS11-12 marine group;NA"
"OTU29","Bacteria;Bacteroidetes","Bacteria;Bacteroidetes;Bacteroidia","Bacteria;Bacteroidetes;Bacteroidia;Chitinophagales;Chitinophagaceae;uncultured"
"OTU30","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Cupriavidus"
"OTU31","Bacteria;Firmicutes","Bacteria;Firmicutes;Bacilli","Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus"
"OTU32","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Alphaproteobacteria","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiales Incertae Sedis;uncultured"
"OTU33","Bacteria;Firmicutes","Bacteria;Firmicutes;Bacilli","Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus"
"OTU34","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Rhodocyclaceae;NA"
"OTU35","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;NA"
"OTU36","Bacteria;Cyanobacteria","Bacteria;Cyanobacteria;Sericytochromatia","Bacteria;Cyanobacteria;Sericytochromatia;NA;NA;NA"
"OTU37","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Chromobacteriaceae;Pseudogulbenkiania"
"OTU38","Bacteria;Bacteroidetes","Bacteria;Bacteroidetes;Bacteroidia","Bacteria;Bacteroidetes;Bacteroidia;Chitinophagales;Chitinophagaceae;uncultured"
"OTU39","Bacteria;Bacteroidetes","Bacteria;Bacteroidetes;Bacteroidia","Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Spirosomaceae;Flectobacillus"
